Name	Date
LT909545.1	2006-6-1
LT909529.1	1984-6-12
LT909542.1	1984-8-18
LT909535.1	1989-2-13
EU293116.1	1997-1-1
LT993243.1	2004-5-1
LT993246.1	2004-5-1
LN879480.1	2002-1-1
KX148107.1	1986-1-1
KM594043.1	2012-1-1
KM594025.1	2007-1-1
KM594023.1	2008-1-1
KM594024.1	2012-1-1
KX148109.1	1986-1-1
KM594039.1	2009-1-1
KM594040.1	2013-1-1
KM594041.1	2013-1-1
KM594042.1	2013-1-1
KM594029.1	2006-1-1
KM594026.1	2009-1-1
KM594027.1	2010-1-1
KM594028.1	2010-1-1
KM594030.1	2010-1-1
KM594031.1	2010-1-1
KM594032.1	2010-1-1
KM594034.1	2010-1-1
KM594035.1	2010-1-1
KM594036.1	2010-1-1
MK920923.1	2010-1-1
KM594037.1	2009-1-1
KM594033.1	2010-1-1
KM594038.1	2010-1-1
ON146312.1	2017-1-1
ON146313.1	2017-1-1
LT993241.1	1994-1-1
MK540988.1	2009-1-1
MK540989.1	2009-1-1
MK540994.1	2011-1-1
MK540998.1	2015-1-1
MK540999.1	2016-1-1
MK541000.1	2017-1-1
MK541002.1	2017-1-1
MK541003.1	2017-1-1
MN234027.1	2004-1-1
MN234032.1	2009-1-1
MN234045.1	2012-1-1
MN233937.1	2015-1-1
MN233943.1	2015-1-1
MN234019.1	2000-1-1
MN234020.1	2000-1-1
MN234024.1	2003-1-1
MN233923.1	2004-1-1
MN233964.1	2005-1-1
MN234033.1	2009-1-1
MN234034.1	2009-1-1
MN234035.1	2009-1-1
MN233905.1	2012-1-1
MN233971.1	2012-1-1
MN234037.1	2012-1-1
MN234039.1	2012-1-1
MN234041.1	2012-1-1
MN234047.1	2012-1-1
MN233996.1	2013-1-1
MN233997.1	2013-1-1
MN234015.1	2013-1-1
MN233939.1	2015-1-1
MN234005.1	2015-1-1
MN234051.1	2015-1-1
MN234053.1	2015-1-1
MN234012.1	2017-1-1
MN234056.1	2017-1-1
OU524425.1	1986-1-1
MK540997.1	2012-1-1
MN233946.1	2015-1-1
MK540887.1	1990-1-1
MK540890.1	1990-1-1
MK540891.1	1990-1-1
MK540892.1	1990-1-1
MK540893.1	1991-1-1
MK540894.1	1991-1-1
MK540896.1	1991-1-1
MK540897.1	1991-1-1
MK540902.1	1993-1-1
MK540907.1	1995-1-1
MK540912.1	1995-1-1
MK540913.1	1996-1-1
MK540917.1	1996-1-1
MK540918.1	1996-1-1
MK540919.1	1996-1-1
MK540920.1	1997-1-1
MK540921.1	1998-1-1
MK540922.1	1998-1-1
MK540923.1	1998-1-1
MK540924.1	1998-1-1
MK540925.1	1998-1-1
MK540926.1	1998-1-1
MK540927.1	1999-1-1
MK540928.1	1999-1-1
MK540929.1	1999-1-1
MK540931.1	1999-1-1
MK540932.1	1999-1-1
MK540933.1	1999-1-1
MK540935.1	1999-1-1
MK540936.1	2000-1-1
MK540937.1	2000-1-1
MK540938.1	2000-1-1
MK540939.1	2000-1-1
MK540940.1	2000-1-1
MK540941.1	2000-1-1
MK540942.1	2000-1-1
MK540944.1	2000-1-1
MK540945.1	2000-1-1
MF143223.2	2000-9-12
MF143224.2	2000-10-31
MF143226.2	2000-11-16
MK540946.1	2001-1-1
MK540947.1	2001-1-1
MK540948.1	2001-1-1
MK540949.1	2001-1-1
MK540950.1	2001-1-1
MK540951.1	2001-1-1
MK540952.1	2001-1-1
MK540953.1	2001-1-1
MK540954.1	2001-1-1
MK540955.1	2001-1-1
MF143229.2	2001-1-2
KY026450.1	2001-4-18
MK540956.1	2002-1-1
